x_m,y_m,w_tr_right_m,w_tr_left_m
1.7857692241668701,-0.030360013246536255,0.65,0.65
3.6195342540740967,-0.06147187203168869,0.65,0.65
5.678460121154785,-0.2252858579158783,0.65,0.65
7.966214179992676,-0.03875677287578583,0.65,0.65
9.837047576904297,-0.006008222699165344,0.65,0.65
11.494619369506836,0.8676433563232422,0.65,0.65
9.962746620178223,1.7948135137557983,0.65,0.65
9.631122589111328,4.38144063949585,0.65,0.65
9.836057662963867,6.989750862121582,0.65,0.65
9.77001667022705,8.476905822753906,0.65,0.65
5.00116491317749,8.751774787902832,0.65,0.65
-0.25671249628067017,8.614445686340332,0.65,0.65
-6.3171916007995605,8.682756423950195,0.65,0.65
-10.701708793640137,8.661209106445312,0.65,0.65
-13.474061012268066,8.546321868896484,0.65,0.65
-13.540399551391602,6.386955738067627,0.65,0.65
-13.793560028076172,4.196480751037598,0.65,0.65
-13.964792251586914,1.8154746294021606,0.65,0.65
-13.542686462402344,-0.22072316706180573,0.65,0.65
-11.193733215332031,-0.48579099774360657,0.65,0.65
-6.938084602355957,-0.1717001050710678,0.65,0.65
-4.1395134925842285,-0.15507666766643524,0.65,0.65
-1.3987376689910889,0.08819994330406189,0.65,0.65
0.7556374073028564,-0.045013874769210815,0.65,0.65
