# x_m,y_m,w_tr_right_m,w_tr_left_m
0.122250,0.337676,0.650000,0.650000
0.215217,0.301060,0.650000,0.650000
0.312309,0.277375,0.650000,0.650000
0.411725,0.267169,0.650000,0.650000
0.511697,0.265165,0.650000,0.650000
0.611696,0.265005,0.650000,0.650000
0.711696,0.265000,0.650000,0.650000
0.811696,0.265000,0.650000,0.650000
0.911696,0.265000,0.650000,0.650000
1.011696,0.265000,0.650000,0.650000
1.111696,0.265000,0.650000,0.650000
1.211696,0.265000,0.650000,0.650000
1.311696,0.265000,0.650000,0.650000
1.411696,0.265000,0.650000,0.650000
1.511696,0.265000,0.650000,0.650000
1.611696,0.265024,0.650000,0.650000
1.711695,0.265545,0.650000,0.650000
1.811579,0.269940,0.650000,0.650000
1.910507,0.284222,0.650000,0.650000
2.008780,0.302694,0.650000,0.650000
2.108229,0.312638,0.650000,0.650000
2.208195,0.314807,0.650000,0.650000
2.308194,0.315115,0.650000,0.650000
2.408177,0.316740,0.650000,0.650000
2.507758,0.325335,0.650000,0.650000
2.606126,0.343217,0.650000,0.650000
2.704891,0.358615,0.650000,0.650000
2.804698,0.364148,0.650000,0.650000
2.904692,0.364973,0.650000,0.650000
3.004691,0.365483,0.650000,0.650000
3.104588,0.369508,0.650000,0.650000
3.203535,0.383469,0.650000,0.650000
3.301040,0.405608,0.650000,0.650000
3.398154,0.429459,0.650000,0.650000
3.495132,0.453856,0.650000,0.650000
3.592271,0.477603,0.650000,0.650000
3.689930,0.499020,0.650000,0.650000
3.789077,0.511383,0.650000,0.650000
3.889002,0.514636,0.650000,0.650000
3.989001,0.514985,0.650000,0.650000
4.089001,0.515000,0.650000,0.650000
4.189001,0.515000,0.650000,0.650000
4.289001,0.515002,0.650000,0.650000
4.389001,0.515078,0.650000,0.650000
4.488990,0.516222,0.650000,0.650000
4.588703,0.523030,0.650000,0.650000
4.687303,0.539462,0.650000,0.650000
4.785837,0.556310,0.650000,0.650000
4.885512,0.563631,0.650000,0.650000
4.985499,0.564980,0.650000,0.650000
5.085489,0.566125,0.650000,0.650000
5.185226,0.572609,0.650000,0.650000
5.283868,0.588777,0.650000,0.650000
5.382360,0.605889,0.650000,0.650000
5.482011,0.613536,0.650000,0.650000
5.581996,0.614965,0.650000,0.650000
5.681988,0.616031,0.650000,0.650000
5.781749,0.622188,0.650000,0.650000
5.880433,0.638092,0.650000,0.650000
5.978882,0.655468,0.650000,0.650000
6.078509,0.663441,0.650000,0.650000
6.178494,0.664903,0.650000,0.650000
6.278493,0.665252,0.650000,0.650000
6.378445,0.667795,0.650000,0.650000
6.477807,0.678466,0.650000,0.650000
6.576080,0.696937,0.650000,0.646954
6.675096,0.710492,0.650000,0.641785
6.774994,0.714513,0.650000,0.640130
6.874992,0.714987,0.650000,0.642329
6.974991,0.715224,0.650000,0.646449
7.074951,0.717568,0.650000,0.649480
7.174358,0.727859,0.650000,0.649651
7.272631,0.746330,0.650000,0.647940
7.371601,0.760272,0.650000,0.647541
7.471486,0.764675,0.650000,0.650000
7.571444,0.767319,0.650000,0.650000
7.670896,0.777250,0.650000,0.650000
7.769163,0.795754,0.650000,0.650000
7.868008,0.810693,0.650000,0.650000
7.967564,0.820079,0.650000,0.650000
8.066033,0.837185,0.650000,0.650000
8.162297,0.864221,0.650000,0.650000
8.258394,0.891862,0.650000,0.650000
8.355962,0.913706,0.650000,0.650000
8.452964,0.937784,0.650000,0.650000
8.544856,0.976890,0.650000,0.650000
8.631456,1.026833,0.650000,0.650000
8.711299,1.086866,0.650000,0.650000
8.789881,1.148630,0.650000,0.650000
8.867416,1.211341,0.650000,0.650000
8.905679,1.302398,0.650000,0.650000
8.913979,1.401908,0.650000,0.650000
8.914945,1.501899,0.650000,0.650000
8.914997,1.601899,0.650000,0.650000
8.914893,1.701899,0.650000,0.650000
8.913430,1.801884,0.650000,0.650000
8.905421,1.901508,0.650000,0.650000
8.888015,1.999952,0.650000,0.650000
8.872139,2.098641,0.650000,0.650000
8.865923,2.198401,0.650000,0.650000
8.863587,2.298372,0.650000,0.650000
8.855844,2.398018,0.650000,0.650000
8.838702,2.496505,0.650000,0.623823
8.822563,2.595152,0.650000,0.601144
8.816117,2.694891,0.650000,0.586866
8.815053,2.794882,0.650000,0.584588
8.814604,2.894881,0.650000,0.609069
8.811146,2.994799,0.650000,0.650000
8.798693,3.093947,0.650000,0.650000
8.780221,3.192220,0.650000,0.650000
8.768449,3.291449,0.643023,0.650000
8.765328,3.391381,0.639977,0.650000
8.764630,3.491378,0.646543,0.650000
8.760880,3.591277,0.650000,0.650000
8.743258,3.689409,0.650000,0.650000
8.698651,3.778162,0.650000,0.650000
8.630908,3.851337,0.650000,0.650000
8.554252,3.915504,0.650000,0.650000
8.474699,3.976092,0.650000,0.650000
8.394018,4.035165,0.650000,0.650000
8.310149,4.089480,0.650000,0.650000
8.217036,4.124929,0.650000,0.650000
8.117526,4.124089,0.650000,0.650000
8.020727,4.099278,0.650000,0.650000
7.925641,4.068328,0.650000,0.650000
7.831169,4.035548,0.650000,0.650000
7.738169,3.998840,0.650000,0.650000
7.647727,3.956198,0.650000,0.650000
7.558183,3.911680,0.650000,0.650000
7.469417,3.865658,0.650000,0.650000
7.386585,3.809878,0.650000,0.650000
7.317569,3.737819,0.650000,0.650000
7.267442,3.651574,0.650000,0.650000
7.233640,3.557539,0.650000,0.650000
7.207289,3.461077,0.650000,0.650000
7.178551,3.365316,0.650000,0.650000
7.142521,3.272058,0.650000,0.650000
7.102085,3.180604,0.650000,0.650000
7.057273,3.091231,0.650000,0.650000
7.007682,3.004407,0.650000,0.650000
6.949640,2.923160,0.650000,0.650000
6.877774,2.853941,0.650000,0.650000
6.795368,2.797531,0.650000,0.650000
6.707379,2.750078,0.650000,0.650000
6.616301,2.708846,0.650000,0.650000
6.520755,2.679714,0.650000,0.650000
6.421613,2.667552,0.650000,0.650000
6.321654,2.665201,0.650000,0.650000
6.221654,2.665006,0.650000,0.650000
6.121654,2.664978,0.650000,0.650000
6.021656,2.664481,0.650000,0.650000
5.921772,2.660156,0.650000,0.650000
5.823063,2.644697,0.650000,0.650000
5.726630,2.618344,0.650000,0.650000
5.630844,2.589627,0.650000,0.650000
5.534217,2.563903,0.650000,0.650000
5.436998,2.540495,0.650000,0.650000
5.338791,2.521837,0.650000,0.650000
5.239754,2.508028,0.650000,0.650000
5.141346,2.490352,0.650000,0.650000
5.042811,2.473529,0.650000,0.650000
4.943128,2.466321,0.650000,0.650000
4.843143,2.464760,0.650000,0.650000
4.743208,2.461680,0.650000,0.650000
4.643911,2.450397,0.650000,0.650000
4.545173,2.434731,0.650000,0.650000
4.445480,2.433545,0.650000,0.650000
4.346661,2.448629,0.650000,0.650000
4.247489,2.460990,0.646005,0.650000
4.147575,2.464579,0.647735,0.650000
4.047576,2.464982,0.650000,0.650000
3.947576,2.465000,0.650000,0.650000
3.847576,2.465011,0.650000,0.650000
3.747577,2.465290,0.650000,0.650000
3.647636,2.468123,0.650000,0.650000
3.548512,2.480426,0.650000,0.650000
3.452247,2.507040,0.650000,0.650000
3.360569,2.546729,0.650000,0.650000
3.275181,2.598640,0.650000,0.650000
3.195868,2.659513,0.650000,0.650000
3.116326,2.720078,0.650000,0.650000
3.035110,2.778408,0.650000,0.650000
2.959477,2.843719,0.650000,0.650000
2.889422,2.915075,0.650000,0.650000
2.819998,2.987043,0.650000,0.650000
2.753713,3.061907,0.650000,0.650000
2.688290,3.137535,0.650000,0.650000
2.621359,3.211825,0.650000,0.650000
2.549641,3.281438,0.650000,0.650000
2.465159,3.334345,0.650000,0.650000
2.370992,3.367597,0.650000,0.650000
2.274071,3.392158,0.650000,0.650000
2.175484,3.408515,0.650000,0.650000
2.075684,3.414137,0.650000,0.650000
1.975690,3.414951,0.650000,0.650000
1.875690,3.414999,0.625161,0.650000
1.775690,3.415000,0.602097,0.650000
1.675690,3.415000,0.590230,0.650000
1.575690,3.415000,0.588185,0.641693
1.475690,3.415000,0.593733,0.632201
1.375690,3.415000,0.604817,0.638453
1.275690,3.415000,0.620219,0.650000
1.175690,3.415000,0.639418,0.650000
1.075690,3.415000,0.650000,0.650000
0.975690,3.415000,0.650000,0.650000
0.875690,3.415000,0.650000,0.650000
0.775690,3.415000,0.650000,0.650000
0.675690,3.414980,0.650000,0.650000
0.575692,3.414520,0.650000,0.650000
0.475794,3.410512,0.650000,0.650000
0.376881,3.396366,0.650000,0.650000
0.280259,3.370857,0.650000,0.650000
0.194168,3.322210,0.650000,0.650000
0.145306,3.236041,0.650000,0.650000
0.120066,3.139404,0.650000,0.650000
0.100912,3.041258,0.650000,0.650000
0.081266,2.943214,0.650000,0.650000
0.068808,2.844069,0.650000,0.650000
0.065391,2.744150,0.650000,0.650000
0.065016,2.644151,0.650000,0.650000
0.064988,2.544151,0.650000,0.650000
0.064680,2.444152,0.650000,0.650000
0.061654,2.344218,0.650000,0.650000
0.048952,2.245147,0.645711,0.650000
0.022624,2.148773,0.634530,0.650000
-0.010004,2.054254,0.621275,0.650000
-0.029944,1.956463,0.608495,0.650000
-0.034492,1.856594,0.597732,0.650000
-0.034978,1.756595,0.589260,0.650000
-0.035000,1.656595,0.582957,0.650000
-0.035000,1.556595,0.578777,0.650000
-0.035000,1.456595,0.576475,0.650000
-0.035000,1.356595,0.575490,0.650000
-0.035000,1.256595,0.575300,0.650000
-0.035000,1.156595,0.575908,0.650000
-0.035000,1.056595,0.578373,0.650000
-0.035000,0.956595,0.585529,0.650000
-0.034993,0.856595,0.602271,0.650000
-0.034790,0.756596,0.633930,0.650000
-0.032480,0.656635,0.650000,0.650000
-0.021230,0.557370,0.650000,0.650000
0.007152,0.461737,0.650000,0.650000
0.062688,0.379734,0.650000,0.650000
