s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,0.4142521,0.6880448,-2.3029971,0.5354217,3.0000000,0.0000000
0.1999111,0.5705384,0.5612178,-2.2062479,0.4099296,3.0000000,0.0000000
0.3998222,0.7347716,0.4490671,-2.1363283,0.3158363,3.0000000,0.0000000
0.5997333,0.9053592,0.3475684,-2.0803237,0.2719440,3.0000000,0.0000000
0.7996444,1.0825232,0.2548168,-2.0259494,0.2742806,3.0000000,0.0000000
0.9995555,1.2643851,0.1721159,-1.9684252,0.2984936,3.0000000,0.0000000
1.1994666,1.4497213,0.1007665,-1.9076318,0.3135043,3.0000000,0.0000000
1.3993777,1.6409180,0.0405729,-1.8437063,0.3208046,3.0000000,0.0000000
1.5992888,1.8360921,-0.0073205,-1.7790817,0.3229048,3.0000000,0.0000000
1.7992000,2.0316871,-0.0422051,-1.7159250,0.3117556,3.0000000,0.0000000
1.9991111,2.2311476,-0.0650712,-1.6543541,0.2976431,3.0000000,0.0000000
2.1990222,2.4305870,-0.0759912,-1.5974525,0.2731013,3.0000000,0.0000000
2.3989333,2.6302992,-0.0760403,-1.5458015,0.2393900,3.0000000,0.0000000
2.5988444,2.8309343,-0.0664530,-1.5015366,0.2022654,3.0000000,0.0000000
2.7987555,3.0292200,-0.0490106,-1.4663495,0.1503410,3.0000000,0.0000000
2.9986666,3.2285614,-0.0254088,-1.4412211,0.0984387,3.0000000,0.0000000
3.1985777,3.4260569,0.0018686,-1.4279766,0.0351929,3.0000000,0.0000000
3.3984888,3.6242700,0.0306773,-1.4269196,-0.0235990,3.0000000,0.0000000
3.5983999,3.8221265,0.0584967,-1.4371067,-0.0779583,3.0000000,0.0000000
3.7983110,4.0206210,0.0833131,-1.4565089,-0.1014691,3.0000000,0.0000000
3.9982221,4.2195605,0.1041389,-1.4763181,-0.0967415,3.0000000,0.0000000
4.1981332,4.4189060,0.1211412,-1.4945818,-0.0821821,3.0000000,0.0000000
4.3980443,4.6184446,0.1348611,-1.5090649,-0.0627975,3.0000000,0.0000000
4.5979554,4.8184464,0.1460905,-1.5196962,-0.0432263,3.0000000,0.0000000
4.7978665,5.0178436,0.1555566,-1.5263677,-0.0235768,3.0000000,0.0000000
4.9977777,5.2184429,0.1641385,-1.5290058,-0.0024584,3.0000000,0.0000000
5.1976888,5.4174039,0.1725549,-1.5272888,0.0199899,3.0000000,0.0000000
5.3975999,5.6183187,0.1818677,-1.5208417,0.0445986,3.0000000,0.0000000
5.5975110,5.8175017,0.1928950,-1.5091193,0.0765933,3.0000000,0.0000000
5.7974221,6.0174031,0.2070978,-1.4889647,0.1260071,3.0000000,0.0000000
5.9973332,6.2159875,0.2263271,-1.4567707,0.2085823,3.0000000,0.0000000
6.1972443,6.4130664,0.2537333,-1.4051537,0.3082213,3.0000000,0.0000000
6.3971554,6.6082066,0.2927864,-1.3409010,0.3283981,3.0000000,0.0000000
6.5970665,6.8013616,0.3447475,-1.2752085,0.3253725,3.0000000,0.0000000
6.7969776,6.9904492,0.4090651,-1.2107706,0.3215232,3.0000000,0.0000000
6.9968887,7.1758100,0.4857430,-1.1467092,0.3119820,3.0000000,0.0000000
7.1967998,7.3554172,0.5735885,-1.0853807,0.3037866,3.0000000,0.0000000
7.3967109,7.5309181,0.6730917,-1.0249665,0.2964431,3.0000000,0.0000000
7.5966220,7.6984020,0.7817925,-0.9648700,0.3046315,3.0000000,0.0000000
7.7965331,7.8603370,0.9015205,-0.9030916,0.3145324,3.0000000,0.0000000
7.9964442,8.0155720,1.0323556,-0.8380525,0.3130977,3.0000000,0.0000000
8.1963554,8.1593540,1.1698126,-0.7800092,0.2279283,3.0000000,0.0000000
8.3962665,8.2962433,1.3109078,-0.7769561,-0.2483510,3.0000000,0.0000000
8.5961776,8.4361835,1.4430377,-0.8493336,-0.1267806,3.0000000,0.0000000
8.7960887,8.5825731,1.5745046,-0.8114459,0.4311965,3.0000000,0.0000000
8.9959998,8.7240103,1.7237917,-0.6994444,0.5972771,3.0000000,0.0000000
9.1959109,8.8424013,1.8828108,-0.5793473,0.6311274,3.0000000,0.0000000
9.3958220,8.9416138,2.0591069,-0.4435607,0.7018199,3.0000000,0.0000000
9.5957331,9.0142678,2.2464693,-0.2926309,0.8104538,3.0000000,0.0000000
9.7956442,9.0557574,2.4424494,-0.1225975,0.8809285,3.0000000,0.0000000
9.9955553,9.0620227,2.6418139,0.0632023,0.9719572,3.0000000,0.0000000
10.1954664,9.0301581,2.8392327,0.2566366,0.9657432,3.0000000,0.0000000
10.3953775,8.9608688,3.0268197,0.4504322,0.9402332,3.0000000,0.0000000
10.5952886,8.8577958,3.1979819,0.6318947,0.8887536,3.0000000,0.0000000
10.7951997,8.7236867,3.3505292,0.8076377,0.8203661,3.0000000,0.0000000
